AIRPORT_SEQ_ID,AIRPORT_ID,CITY_MARKET_ID,CITY_CODE,CITY_NAME,STATE_ABR,STATE_FIPS,STATE_NM,WAC
1013503,10135,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23
1013603,10136,30136,ABI,"Abilene, TX",TX,48,Texas,74
1014003,10140,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86
1014103,10141,30141,ABR,"Aberdeen, SD",SD,46,South Dakota,67
1014602,10146,30146,ABY,"Albany, GA",GA,13,Georgia,34
1015403,10154,30154,ACK,"Nantucket, MA",MA,25,Massachusetts,13
1015502,10155,30155,ACT,"Waco, TX",TX,48,Texas,74
1015703,10157,30157,ACV,"Arcata/Eureka, CA",CA,6,California,91
1015804,10158,30158,ACY,"Atlantic City, NJ",NJ,34,New Jersey,21
1016503,10165,30165,ADK,"Adak Island, AK",AK,2,Alaska,1
1016504,10165,30165,ADK,"Adak Island, AK",AK,2,Alaska,1
1017001,10170,30070,ADQ,"Kodiak, AK",AK,2,Alaska,1
1018502,10185,30185,AEX,"Alexandria, LA",LA,22,Louisiana,72
1020803,10208,30208,AGS,"Augusta, GA",GA,13,Georgia,34
1024502,10245,30245,AKN,"King Salmon, AK",AK,2,Alaska,1
1025702,10257,30257,ALB,"Albany, NY",NY,36,New York,22
1027903,10279,30279,AMA,"Amarillo, TX",TX,48,Texas,74
1029904,10299,30299,ANC,"Anchorage, AK",AK,2,Alaska,1
1033302,10333,30333,APN,"Alpena, MI",MI,26,Michigan,43
1037203,10372,30372,ASE,"Aspen, CO",CO,8,Colorado,82
1039705,10397,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
1040803,10408,30408,ATW,"Appleton, WI",WI,55,Wisconsin,45
1042302,10423,30423,AUS,"Austin, TX",TX,48,Texas,74
1043103,10431,30431,AVL,"Asheville, NC",NC,37,North Carolina,36
1043403,10434,30434,AVP,"Scranton/Wilkes-Barre, PA",PA,42,Pennsylvania,23
1046902,10469,30469,AZO,"Kalamazoo, MI",MI,26,Michigan,43
1052904,10529,30529,BDL,"Hartford, CT",CT,9,Connecticut,11
1055102,10551,30113,BET,"Bethel, AK",AK,2,Alaska,1
1055803,10558,30558,BFF,"Scottsbluff, NE",NE,31,Nebraska,65
1056103,10561,30561,BFL,"Bakersfield, CA",CA,6,California,91
1057703,10577,30577,BGM,"Binghamton, NY",NY,36,New York,22
1058102,10581,30581,BGR,"Bangor, ME",ME,23,Maine,12
1059904,10599,30599,BHM,"Birmingham, AL",AL,1,Alabama,51
1062002,10620,30620,BIL,"Billings, MT",MT,30,Montana,84
1062702,10627,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66
1063104,10631,30631,BJI,"Bemidji, MN",MN,27,Minnesota,63
1066602,10666,30666,BLI,"Bellingham, WA",WA,53,Washington,93
1068502,10685,30685,BMI,"Bloomington/Normal, IL",IL,17,Illinois,41
